$ Aurora File: n25x10.gtr.au.dat	Date: 	Misc: 
$ Atem File: n25x10.gtr
VARIABLE W = 2.5e-05
VARIABLE L = 1e-05
VARIABLE T = 25
VARIABLE REGION = 0 

TABLE VGS  VBS  VDS  ID  
2.300000e+00   -2.000000e+00   1.000000e-01   5.044500e-05   
2.400000e+00   -2.000000e+00   1.000000e-01   5.322800e-05   
2.500000e+00   -2.000000e+00   1.000000e-01   5.582900e-05   
2.600000e+00   -2.000000e+00   1.000000e-01   5.829300e-05   
2.700000e+00   -2.000000e+00   1.000000e-01   6.060100e-05   
2.800000e+00   -2.000000e+00   1.000000e-01   6.273400e-05   
2.900000e+00   -2.000000e+00   1.000000e-01   6.473900e-05   
3.000000e+00   -2.000000e+00   1.000000e-01   6.658700e-05   
3.100000e+00   -2.000000e+00   1.000000e-01   6.830800e-05   
3.200000e+00   -2.000000e+00   1.000000e-01   6.989500e-05   
3.300000e+00   -2.000000e+00   1.000000e-01   7.134700e-05   
0.000000e+00   -3.000000e+00   1.000000e-01   9.800000e-13   
1.000000e-01   -3.000000e+00   1.000000e-01   4.900000e-13   
2.000000e-01   -3.000000e+00   1.000000e-01   3.300000e-13   
3.000000e-01   -3.000000e+00   1.000000e-01   2.300000e-13   
4.000000e-01   -3.000000e+00   1.000000e-01   1.700000e-13   
5.000000e-01   -3.000000e+00   1.000000e-01   1.600000e-13   
6.000000e-01   -3.000000e+00   1.000000e-01   1.870000e-12   
7.000000e-01   -3.000000e+00   1.000000e-01   5.585000e-11   
8.000000e-01   -3.000000e+00   1.000000e-01   1.556300e-09   
9.000000e-01   -3.000000e+00   1.000000e-01   3.798400e-08   
1.000000e+00   -3.000000e+00   1.000000e-01   5.113400e-07   
1.100000e+00   -3.000000e+00   1.000000e-01   2.372100e-06   
1.200000e+00   -3.000000e+00   1.000000e-01   5.519700e-06   
1.300000e+00   -3.000000e+00   1.000000e-01   9.197800e-06   
1.400000e+00   -3.000000e+00   1.000000e-01   1.302500e-05   
1.500000e+00   -3.000000e+00   1.000000e-01   1.692000e-05   
1.600000e+00   -3.000000e+00   1.000000e-01   2.078500e-05   
1.700000e+00   -3.000000e+00   1.000000e-01   2.455700e-05   
1.800000e+00   -3.000000e+00   1.000000e-01   2.826500e-05   
1.900000e+00   -3.000000e+00   1.000000e-01   3.183300e-05   
2.000000e+00   -3.000000e+00   1.000000e-01   3.529800e-05   
2.100000e+00   -3.000000e+00   1.000000e-01   3.862400e-05   
2.200000e+00   -3.000000e+00   1.000000e-01   4.178100e-05   
2.300000e+00   -3.000000e+00   1.000000e-01   4.480900e-05   
2.400000e+00   -3.000000e+00   1.000000e-01   4.767700e-05   
2.500000e+00   -3.000000e+00   1.000000e-01   5.036900e-05   
2.600000e+00   -3.000000e+00   1.000000e-01   5.292400e-05   
2.700000e+00   -3.000000e+00   1.000000e-01   5.532100e-05   
2.800000e+00   -3.000000e+00   1.000000e-01   5.754400e-05   
2.900000e+00   -3.000000e+00   1.000000e-01   5.963800e-05   
3.000000e+00   -3.000000e+00   1.000000e-01   6.157100e-05   
3.100000e+00   -3.000000e+00   1.000000e-01   6.337900e-05   
3.200000e+00   -3.000000e+00   1.000000e-01   6.505100e-05   
3.300000e+00   -3.000000e+00   1.000000e-01   6.658300e-05   
0.000000e+00   0.000000e+00   1.000000e+00   2.190000e-12   
1.000000e-01   0.000000e+00   1.000000e+00   1.482000e-11   
2.000000e-01   0.000000e+00   1.000000e+00   2.456000e-10   
3.000000e-01   0.000000e+00   1.000000e+00   4.281900e-09   
4.000000e-01   0.000000e+00   1.000000e+00   7.165300e-08   
5.000000e-01   0.000000e+00   1.000000e+00   7.374000e-07   
6.000000e-01   0.000000e+00   1.000000e+00   3.337400e-06   
7.000000e-01   0.000000e+00   1.000000e+00   8.957500e-06   
8.000000e-01   0.000000e+00   1.000000e+00   1.800000e-05   
9.000000e-01   0.000000e+00   1.000000e+00   3.048500e-05   
1.000000e+00   0.000000e+00   1.000000e+00   4.661800e-05   
1.100000e+00   0.000000e+00   1.000000e+00   6.609700e-05   
1.200000e+00   0.000000e+00   1.000000e+00   8.914700e-05   
1.300000e+00   0.000000e+00   1.000000e+00   1.155500e-04   
1.400000e+00   0.000000e+00   1.000000e+00   1.450100e-04   
1.500000e+00   0.000000e+00   1.000000e+00   1.778200e-04   
