$ Aurora File: n15x15.gtr.au.dat	Date: 	Misc: 
$ Atem File: n15x15.gtr
VARIABLE W = 1.5e-05
VARIABLE L = 1.5e-05
VARIABLE T = 25
VARIABLE REGION = 0 

TABLE VGS  VBS  VDS  ID  
1.700000e+00   -2.200000e+00   1.000000e-01   4.573100e-06   
1.800000e+00   -2.200000e+00   1.000000e-01   5.558900e-06   
1.900000e+00   -2.200000e+00   1.000000e-01   6.539000e-06   
2.000000e+00   -2.200000e+00   1.000000e-01   7.502600e-06   
2.100000e+00   -2.200000e+00   1.000000e-01   8.464800e-06   
2.200000e+00   -2.200000e+00   1.000000e-01   9.409000e-06   
2.300000e+00   -2.200000e+00   1.000000e-01   1.034900e-05   
2.400000e+00   -2.200000e+00   1.000000e-01   1.127500e-05   
2.500000e+00   -2.200000e+00   1.000000e-01   1.218200e-05   
2.600000e+00   -2.200000e+00   1.000000e-01   1.308300e-05   
2.700000e+00   -2.200000e+00   1.000000e-01   1.396900e-05   
2.800000e+00   -2.200000e+00   1.000000e-01   1.483300e-05   
2.900000e+00   -2.200000e+00   1.000000e-01   1.569000e-05   
3.000000e+00   -2.200000e+00   1.000000e-01   1.652900e-05   
3.100000e+00   -2.200000e+00   1.000000e-01   1.734600e-05   
3.200000e+00   -2.200000e+00   1.000000e-01   1.815200e-05   
3.300000e+00   -2.200000e+00   1.000000e-01   1.893500e-05   
3.400000e+00   -2.200000e+00   1.000000e-01   1.970500e-05   
3.500000e+00   -2.200000e+00   1.000000e-01   2.045800e-05   
3.600000e+00   -2.200000e+00   1.000000e-01   2.118500e-05   
0.000000e+00   -3.300000e+00   1.000000e-01   -2.500000e-13   
1.000000e-01   -3.300000e+00   1.000000e-01   -1.800000e-13   
2.000000e-01   -3.300000e+00   1.000000e-01   -3.000000e-14   
3.000000e-01   -3.300000e+00   1.000000e-01   1.000000e-14   
4.000000e-01   -3.300000e+00   1.000000e-01   8.000000e-14   
5.000000e-01   -3.300000e+00   1.000000e-01   1.300000e-13   
6.000000e-01   -3.300000e+00   1.000000e-01   1.100000e-13   
7.000000e-01   -3.300000e+00   1.000000e-01   1.600000e-13   
8.000000e-01   -3.300000e+00   1.000000e-01   1.000000e-13   
9.000000e-01   -3.300000e+00   1.000000e-01   1.900000e-13   
1.000000e+00   -3.300000e+00   1.000000e-01   4.480000e-12   
1.100000e+00   -3.300000e+00   1.000000e-01   1.415300e-10   
1.200000e+00   -3.300000e+00   1.000000e-01   3.979800e-09   
1.300000e+00   -3.300000e+00   1.000000e-01   6.974900e-08   
1.400000e+00   -3.300000e+00   1.000000e-01   4.151400e-07   
1.500000e+00   -3.300000e+00   1.000000e-01   1.108500e-06   
1.600000e+00   -3.300000e+00   1.000000e-01   1.976700e-06   
1.700000e+00   -3.300000e+00   1.000000e-01   2.905500e-06   
1.800000e+00   -3.300000e+00   1.000000e-01   3.866800e-06   
1.900000e+00   -3.300000e+00   1.000000e-01   4.834900e-06   
2.000000e+00   -3.300000e+00   1.000000e-01   5.793600e-06   
2.100000e+00   -3.300000e+00   1.000000e-01   6.754900e-06   
2.200000e+00   -3.300000e+00   1.000000e-01   7.701200e-06   
2.300000e+00   -3.300000e+00   1.000000e-01   8.644900e-06   
2.400000e+00   -3.300000e+00   1.000000e-01   9.577100e-06   
2.500000e+00   -3.300000e+00   1.000000e-01   1.049100e-05   
2.600000e+00   -3.300000e+00   1.000000e-01   1.139900e-05   
2.700000e+00   -3.300000e+00   1.000000e-01   1.229400e-05   
2.800000e+00   -3.300000e+00   1.000000e-01   1.316600e-05   
2.900000e+00   -3.300000e+00   1.000000e-01   1.403100e-05   
3.000000e+00   -3.300000e+00   1.000000e-01   1.488100e-05   
3.100000e+00   -3.300000e+00   1.000000e-01   1.570800e-05   
3.200000e+00   -3.300000e+00   1.000000e-01   1.652500e-05   
3.300000e+00   -3.300000e+00   1.000000e-01   1.731800e-05   
3.400000e+00   -3.300000e+00   1.000000e-01   1.810000e-05   
3.500000e+00   -3.300000e+00   1.000000e-01   1.886400e-05   
3.600000e+00   -3.300000e+00   1.000000e-01   1.960200e-05   
0.000000e+00   0.000000e+00   1.000000e+00   2.670000e-12   
1.000000e-01   0.000000e+00   1.000000e+00   2.080000e-12   
2.000000e-01   0.000000e+00   1.000000e+00   4.960000e-12   
3.000000e-01   0.000000e+00   1.000000e+00   4.321000e-11   
4.000000e-01   0.000000e+00   1.000000e+00   5.616200e-10   
5.000000e-01   0.000000e+00   1.000000e+00   7.831100e-09   
6.000000e-01   0.000000e+00   1.000000e+00   8.247000e-08   
7.000000e-01   0.000000e+00   1.000000e+00   4.536900e-07   
